Time (UTC-07:00),Clicks,Impressions,CTR,Position
2026-03-23T05:00:00,0,5,0%,44.8
2026-03-23T06:00:00,0,9,0%,37.2
2026-03-23T07:00:00,0,6,0%,27.8
2026-03-23T08:00:00,0,4,0%,13
2026-03-23T09:00:00,0,9,0%,14.4
2026-03-23T10:00:00,0,4,0%,40.2
2026-03-23T11:00:00,0,8,0%,31.9
2026-03-23T12:00:00,0,11,0%,35
2026-03-23T13:00:00,0,5,0%,18
2026-03-23T14:00:00,0,6,0%,26.8
2026-03-23T15:00:00,0,8,0%,13.6
2026-03-23T16:00:00,0,11,0%,33.4
2026-03-23T17:00:00,0,8,0%,57
2026-03-23T18:00:00,0,7,0%,37.3
2026-03-23T19:00:00,0,1,0%,12
2026-03-23T20:00:00,0,2,0%,78.5
2026-03-23T21:00:00,0,9,0%,16.4
2026-03-23T22:00:00,0,3,0%,2.7
2026-03-23T23:00:00,0,4,0%,28.5
2026-03-24T00:00:00,0,7,0%,7.3
2026-03-24T01:00:00,0,7,0%,45
2026-03-24T02:00:00,0,3,0%,51
2026-03-24T03:00:00,0,0,0%,0
2026-03-24T04:00:00,0,0,0%,0
