node_type,source,target,relationship,priority,gsc_impr,gsc_pos,page_url
problem,hvac-repair,repair-vs-replace,compares,10,0,0,/hvac-repair-vs-replace-san-diego.html
problem,hvac-high-quote,second-opinion,routes_to,10,0,0,/hvac-scam-warning-san-diego.html
problem,hvac-emergency,text-pj-orb,escalates_to,10,7,82,/who-do-i-call-for-after-hours-hvac-san-diego.html
problem,airport-delay,who-do-i-call,routes_to,10,0,0,/airport-stress-hub.html
problem,operator-confusion,text-pj-orb,escalates_to,10,0,0,/
problem,twilio-not-working,text-pj-orb,escalates_to,10,188,7,/problems/twilio-sms-not-delivering-in-2026.html
problem,zapier-timeout,text-pj-orb,escalates_to,10,40,4,/problems/quick-fix-for-zapier-task-failed-webhook-timeout.html
problem,n8n-memory,text-pj-orb,escalates_to,10,40,4,/problems/n8n-ai-agent-memory-not-working.html
problem,openai-rate-limit,text-pj-orb,escalates_to,9,8,8,/problems/troubleshooting-openai-api-rate-limit-exceeded-fix.html
problem,docker-exits,text-pj-orb,escalates_to,9,27,12,/problems/step-by-step-fix-for-docker-container-exits-immediately.html
problem,stripe-connect-error,text-pj-orb,escalates_to,10,1,11,/problems/stripe-connect-problems-and-solutions.html
problem,payment-fees,stripe-vs-square,compares,9,92,75,/stripe-vs-square.html
problem,payment-fees,solana-payments,upsells_to,9,0,0,/solana-payments-directory.html
problem,stripe-fees,fee-calculator,routes_to,10,33,4,/stripe-fees-for-small-business-san-diego.html
problem,stripe-fees,text-pj-orb,escalates_to,9,33,4,/stripe-fees-for-small-business-san-diego.html
problem,credit-card-processing,how-fees-work,explains,8,33,63,/how-credit-card-processing-fees-work.html
problem,compliance-soc2,vanta-vs-drata,compares,9,44,11,/compliance-automation-tools.html
problem,compliance-soc2,text-pj-orb,escalates_to,8,44,11,/compliance-automation-tools.html
problem,drywall-ai,ai-chatbot-drywall,explains,8,36,30,/ai-chatbot-for-drywall-contractors-san-diego.html
problem,drywall-ai,text-pj-orb,escalates_to,9,36,30,/ai-chatbot-for-drywall-contractors-san-diego.html
problem,workflow-automation,san-diego-operators,localizes_to,8,9,13,/pages/workflow-automation-san-diego-5.html
problem,small-business-chaos,automation-blueprint,monetizes_with,9,0,0,/ai-workflow-automation-san-diego.html
problem,seo-growth,cluster-expansion,compounds_into,8,0,0,/
problem,kalshi-hedge,betting-lab,related_to,6,17,7,/problems/kalshi-order-not-filled.html
problem,pretext-build,market-intelligence,monetizes_with,10,0,0,/services/pretext-software-development.html
service,pretext-build,text-pj-orb,escalates_to,10,0,0,/services/pretext-software-development.html
calculator,stripe-fees,fee-calculator,routes_to,10,33,4,/stripe-fees-for-small-business-san-diego.html
calculator,hvac-repair,cost-calculator,routes_to,9,0,0,/hvac-maintenance-plan.html
calculator,stripe-vs-square,comparison-tool,compounds_into,9,92,75,/stripe-vs-square.html
local,san-diego-hvac,north-county-trust,localizes_to,9,0,0,/ac-repair-san-diego.html
local,encinitas-roofing,la-jolla-trust,localizes_to,8,7,65,/roofing-project-quote-review-san-diego.html
local,solana-beach,payments-trust,localizes_to,8,0,0,/solana-payments-directory.html
