# intent_key	title_suffix	slug_suffix
explained	Explained	explained
why	Why This Happens	why
signs	Signs & Symptoms	signs
fix	Step-by-Step Fix	fix
checklist	Quick Checklist	checklist
cost	Cost & Pricing	cost
tools	Best Tools & Software	tools
compare	Compare Options	compare
mistakes	Common Mistakes	mistakes
timeline	How Long It Takes	timeline
risk	Safety & Risk	risk
faq	FAQ	faq
decision_tree	Decision Tree	decision-tree
templates	Templates & Examples	templates
troubleshoot	Troubleshooting Guide	troubleshooting
next_steps	What to Do Next	next-steps
