pillar	cluster	cluster_title	page_count	status
ai-automation	ai-cost	AI Automation Cost & ROI	5421	strong
ai-automation	ai-overview	AI Automation (Overview)	2250	strong
ai-automation	ai-tools	AI Automation Tools	1669	strong
ai-automation	ai-city-pages	AI Automation — City Pages	1268	strong
ai-automation	ai-scheduling	AI Scheduling & Booking	1201	strong
ai-automation	ai-agent-workflows	AI Agent Workflows	446	strong
ai-automation	ai-consulting	AI Consulting	231	strong
ai-automation	ai-restaurants	AI for Restaurants	116	strong
problem-intelligence	general	General (Other)	52	strong
ai-automation	ai-customer-service	AI Customer Service	36	normal
ai-automation	ai-healthcare	AI for Healthcare Practices	36	normal
payments	payments-overview	Payment Processing (Overview)	17	normal
payments	payment-fees	Payment Fee Comparison	8	weak
operator-tools	operator-tools-overview	Operator Tools (Overview)	4	weak
payments	stripe	Stripe Troubleshooting	1	weak
payments	chargebacks	Chargebacks & Disputes	1	weak
