source	topic	slug	bucket	signal_type	score	seed	generated_at
radar-v2	payment processor fees too high near me chula vista	payment-processor-fees-too-high-near-me-chula-vista	payments	money	46	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost chula vista	payment-processor-fees-too-high-cost-chula-vista	payments	money	43	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me chula vista	how-to-lower-payment-processing-fees-near-me-chula-vista	payments	money	42	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me chula vista	medical-device-software-support-near-me-chula-vista	automation	local	41	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business chula vista	payment-processor-fees-too-high-for-small-business-chula-vista	payments	money	41	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me chula vista	compliance-software-explained-near-me-chula-vista	automation	local	40	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me del mar	payment-processor-fees-too-high-near-me-del-mar	payments	money	40	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me la jolla	payment-processor-fees-too-high-near-me-la-jolla	payments	money	40	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me san diego	payment-processor-fees-too-high-near-me-san-diego	payments	money	40	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me san marcos	payment-processor-fees-too-high-near-me-san-marcos	payments	money	40	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	hvac repair cost near me chula vista	hvac-repair-cost-near-me-chula-vista	automation	money	39	hvac repair cost	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees cost chula vista	how-to-lower-payment-processing-fees-cost-chula-vista	payments	money	39	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me carlsbad	payment-processor-fees-too-high-near-me-carlsbad	payments	money	39	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me coronado	payment-processor-fees-too-high-near-me-coronado	payments	money	39	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me encinitas	payment-processor-fees-too-high-near-me-encinitas	payments	money	39	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me escondido	payment-processor-fees-too-high-near-me-escondido	payments	money	39	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me oceanside	payment-processor-fees-too-high-near-me-oceanside	payments	money	39	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high near me vista	payment-processor-fees-too-high-near-me-vista	payments	money	39	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support cost chula vista	medical-device-software-support-cost-chula-vista	automation	money	38	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high chula vista	payment-processor-fees-too-high-chula-vista	payments	money	38	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	square vs stripe fees near me chula vista	square-vs-stripe-fees-near-me-chula-vista	payments	comparison	38	square vs stripe fees	2026-03-09T19:23:00.232825+00:00
radar-v2	ai automation for small business near me chula vista	ai-automation-for-small-business-near-me-chula-vista	automation	local	37	ai automation for small business	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained cost chula vista	compliance-software-explained-cost-chula-vista	automation	money	37	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost del mar	payment-processor-fees-too-high-cost-del-mar	payments	money	37	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost la jolla	payment-processor-fees-too-high-cost-la-jolla	payments	money	37	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost san diego	payment-processor-fees-too-high-cost-san-diego	payments	money	37	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost san marcos	payment-processor-fees-too-high-cost-san-marcos	payments	money	37	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support for small business chula vista	medical-device-software-support-for-small-business-chula-vista	automation	local	36	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical office software setup near me chula vista	medical-office-software-setup-near-me-chula-vista	automation	local	36	medical office software setup	2026-03-09T19:23:00.232825+00:00
radar-v2	energy company payment systems near me chula vista	energy-company-payment-systems-near-me-chula-vista	payments	local	36	energy company payment systems	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees for small business chula vista	how-to-lower-payment-processing-fees-for-small-business-chula-vista	payments	money	36	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me del mar	how-to-lower-payment-processing-fees-near-me-del-mar	payments	money	36	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me la jolla	how-to-lower-payment-processing-fees-near-me-la-jolla	payments	money	36	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me san diego	how-to-lower-payment-processing-fees-near-me-san-diego	payments	money	36	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me san marcos	how-to-lower-payment-processing-fees-near-me-san-marcos	payments	money	36	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost carlsbad	payment-processor-fees-too-high-cost-carlsbad	payments	money	36	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost coronado	payment-processor-fees-too-high-cost-coronado	payments	money	36	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost encinitas	payment-processor-fees-too-high-cost-encinitas	payments	money	36	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost escondido	payment-processor-fees-too-high-cost-escondido	payments	money	36	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost oceanside	payment-processor-fees-too-high-cost-oceanside	payments	money	36	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high cost vista	payment-processor-fees-too-high-cost-vista	payments	money	36	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	stripe fees for small business near me chula vista	stripe-fees-for-small-business-near-me-chula-vista	payments	money	36	stripe fees for small business	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained for small business chula vista	compliance-software-explained-for-small-business-chula-vista	automation	local	35	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me del mar	medical-device-software-support-near-me-del-mar	automation	local	35	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me la jolla	medical-device-software-support-near-me-la-jolla	automation	local	35	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me san diego	medical-device-software-support-near-me-san-diego	automation	local	35	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me san marcos	medical-device-software-support-near-me-san-marcos	automation	local	35	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	electrical contractor seo near me chula vista	electrical-contractor-seo-near-me-chula-vista	local-services	local	35	electrical contractor seo	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me carlsbad	how-to-lower-payment-processing-fees-near-me-carlsbad	payments	money	35	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me coronado	how-to-lower-payment-processing-fees-near-me-coronado	payments	money	35	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me encinitas	how-to-lower-payment-processing-fees-near-me-encinitas	payments	money	35	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me escondido	how-to-lower-payment-processing-fees-near-me-escondido	payments	money	35	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me oceanside	how-to-lower-payment-processing-fees-near-me-oceanside	payments	money	35	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees near me vista	how-to-lower-payment-processing-fees-near-me-vista	payments	money	35	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business del mar	payment-processor-fees-too-high-for-small-business-del-mar	payments	money	35	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business la jolla	payment-processor-fees-too-high-for-small-business-la-jolla	payments	money	35	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business san diego	payment-processor-fees-too-high-for-small-business-san-diego	payments	money	35	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business san marcos	payment-processor-fees-too-high-for-small-business-san-marcos	payments	money	35	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	square vs stripe fees cost chula vista	square-vs-stripe-fees-cost-chula-vista	payments	comparison	35	square vs stripe fees	2026-03-09T19:23:00.232825+00:00
radar-v2	ai automation for small business cost chula vista	ai-automation-for-small-business-cost-chula-vista	automation	money	34	ai automation for small business	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me del mar	compliance-software-explained-near-me-del-mar	automation	local	34	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me la jolla	compliance-software-explained-near-me-la-jolla	automation	local	34	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me san diego	compliance-software-explained-near-me-san-diego	automation	local	34	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me san marcos	compliance-software-explained-near-me-san-marcos	automation	local	34	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	hvac repair cost for small business chula vista	hvac-repair-cost-for-small-business-chula-vista	automation	money	34	hvac repair cost	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me carlsbad	medical-device-software-support-near-me-carlsbad	automation	local	34	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me coronado	medical-device-software-support-near-me-coronado	automation	local	34	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me encinitas	medical-device-software-support-near-me-encinitas	automation	local	34	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me escondido	medical-device-software-support-near-me-escondido	automation	local	34	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me oceanside	medical-device-software-support-near-me-oceanside	automation	local	34	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support near me vista	medical-device-software-support-near-me-vista	automation	local	34	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	solar install cost near me chula vista	solar-install-cost-near-me-chula-vista	local-services	money	34	solar install cost	2026-03-09T19:23:00.232825+00:00
radar-v2	how to lower payment processing fees chula vista	how-to-lower-payment-processing-fees-chula-vista	payments	money	34	how to lower payment processing fees	2026-03-09T19:23:00.232825+00:00
radar-v2	merchant services pricing near me chula vista	merchant-services-pricing-near-me-chula-vista	payments	money	34	merchant services pricing	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business carlsbad	payment-processor-fees-too-high-for-small-business-carlsbad	payments	money	34	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business coronado	payment-processor-fees-too-high-for-small-business-coronado	payments	money	34	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business encinitas	payment-processor-fees-too-high-for-small-business-encinitas	payments	money	34	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business escondido	payment-processor-fees-too-high-for-small-business-escondido	payments	money	34	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business oceanside	payment-processor-fees-too-high-for-small-business-oceanside	payments	money	34	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	payment processor fees too high for small business vista	payment-processor-fees-too-high-for-small-business-vista	payments	money	34	payment processor fees too high	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me carlsbad	compliance-software-explained-near-me-carlsbad	automation	local	33	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me coronado	compliance-software-explained-near-me-coronado	automation	local	33	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me encinitas	compliance-software-explained-near-me-encinitas	automation	local	33	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me escondido	compliance-software-explained-near-me-escondido	automation	local	33	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me oceanside	compliance-software-explained-near-me-oceanside	automation	local	33	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	compliance software explained near me vista	compliance-software-explained-near-me-vista	automation	local	33	compliance software explained	2026-03-09T19:23:00.232825+00:00
radar-v2	hvac repair cost near me del mar	hvac-repair-cost-near-me-del-mar	automation	money	33	hvac repair cost	2026-03-09T19:23:00.232825+00:00
radar-v2	hvac repair cost near me la jolla	hvac-repair-cost-near-me-la-jolla	automation	money	33	hvac repair cost	2026-03-09T19:23:00.232825+00:00
radar-v2	hvac repair cost near me san diego	hvac-repair-cost-near-me-san-diego	automation	money	33	hvac repair cost	2026-03-09T19:23:00.232825+00:00
radar-v2	hvac repair cost near me san marcos	hvac-repair-cost-near-me-san-marcos	automation	money	33	hvac repair cost	2026-03-09T19:23:00.232825+00:00
radar-v2	medical device software support chula vista	medical-device-software-support-chula-vista	automation	local	33	medical device software support	2026-03-09T19:23:00.232825+00:00
radar-v2	medical office software setup cost chula vista	medical-office-software-setup-cost-chula-vista	automation	money	33	medical office software setup	2026-03-09T19:23:00.232825+00:00
radar-v2	energy company payment systems cost chula vista	energy-company-payment-systems-cost-chula-vista	payments	money	33	energy company payment systems	2026-03-09T19:23:00.232825+00:00
