rank	composite_score	seed	avg_signal_score	best_signal_score	signal_count	pillar_fit	page_exists	buckets	signal_types
1	51.3	electrical contractor seo	21.3	35.0	88	10	no	automation|local-services|payments	comparison|intent|local|money|question|urgency
2	50.2	merchant services pricing	20.2	34.0	89	10	no	payments	comparison|money
3	49.7	solar install cost	19.7	34.0	89	10	no	automation|local-services|payments	comparison|money
4	48.3	crm setup for small business	18.3	32.0	88	10	no	automation|payments	comparison|intent|local|money|question|urgency
5	47.3	bookkeeping automation for contractors	17.3	31.0	88	10	no	automation|payments	comparison|intent|local|money|question|urgency
6	47.3	contractor leads too expensive	17.3	31.0	88	10	no	automation|local-services|payments	comparison|intent|local|money|question|urgency
7	47.3	plumbing website not ranking	17.3	31.0	88	10	no	automation|local-services|payments	comparison|intent|local|money|question|urgency
8	47.3	google ads not converting	17.3	31.0	88	10	no	automation|local-services|marketing|payments	comparison|intent|local|money|question|urgency
9	47.3	seo agency too expensive	17.3	31.0	88	10	no	automation|local-services|marketing|payments	comparison|intent|local|money|question|urgency
10	47.3	website not getting leads	17.3	31.0	88	10	no	automation|local-services|marketing|payments	comparison|intent|local|money|question|urgency
11	47.3	pos system for restaurants	17.3	31.0	88	10	no	payments	comparison|intent|local|money|question|urgency
12	46.8	payment processor fees too high	31.8	46.0	92	10	yes	payments	comparison|money
13	46.3	chargeback prevention tools	16.3	30.0	88	10	no	payments	comparison|intent|local|money|question|urgency
14	42.9	how to lower payment processing fees	27.9	42.0	90	10	yes	payments	comparison|money
15	42.3	medical device software support	27.3	41.0	88	10	yes	automation|payments	comparison|intent|local|money|question|urgency
16	41.3	compliance software explained	26.3	40.0	88	10	yes	automation|payments	comparison|intent|local|money|question|urgency
17	39.6	hvac repair cost	24.6	39.0	89	10	yes	automation|payments	comparison|money
18	38.8	square vs stripe fees	23.8	38.0	90	10	yes	payments	comparison
19	38.3	ai automation for small business	23.3	37.0	88	10	yes	automation|payments	comparison|intent|local|money|question|urgency
20	37.3	medical office software setup	22.3	36.0	88	10	yes	automation|payments	comparison|intent|local|money|question|urgency
21	37.3	energy company payment systems	22.3	36.0	88	10	yes	payments	comparison|intent|local|money|question|urgency
22	36.9	stripe fees for small business	21.9	36.0	90	10	yes	payments	comparison|money
23	33.3	ai chatbot for local business	18.3	32.0	88	10	yes	automation|payments	comparison|intent|local|money|question|urgency
24	31.3	vacation rental automation	16.3	30.0	88	10	yes	automation|payments	comparison|intent|local|money|question|urgency
25	31.3	restaurant payment processing	16.3	30.0	88	10	yes	payments	comparison|intent|local|money|question|urgency
