cluster_a	cluster_b	score
ai-automation__ai-cost	ai-automation__ai-scheduling	4592.0
ai-automation__ai-overview	ai-automation__ai-tools	4497.0
ai-automation__ai-cost	ai-automation__ai-overview	3782.0
ai-automation__ai-cost	ai-automation__ai-tools	3402.0
ai-automation__ai-city-pages	ai-automation__ai-overview	3138.0
ai-automation__ai-overview	ai-automation__ai-scheduling	3026.0
ai-automation__ai-scheduling	ai-automation__ai-tools	2468.0
ai-automation__ai-city-pages	ai-automation__ai-cost	2438.0
ai-automation__ai-city-pages	ai-automation__ai-scheduling	2327.0
ai-automation__ai-agent-workflows	ai-automation__ai-cost	1683.0
ai-automation__ai-agent-workflows	ai-automation__ai-tools	1185.0
ai-automation__ai-agent-workflows	ai-automation__ai-scheduling	1081.0
ai-automation__ai-agent-workflows	ai-automation__ai-overview	1061.0
ai-automation__ai-city-pages	ai-automation__ai-tools	1051.0
ai-automation__ai-city-pages	ai-automation__ai-consulting	829.0
ai-automation__ai-agent-workflows	ai-automation__ai-city-pages	790.0
ai-automation__ai-agent-workflows	ai-automation__ai-consulting	483.0
ai-automation__ai-consulting	ai-automation__ai-scheduling	473.0
ai-automation__ai-agent-workflows	ai-automation__ai-restaurants	444.0
ai-automation__ai-restaurants	ai-automation__ai-scheduling	443.0
ai-automation__ai-restaurants	ai-automation__ai-tools	425.0
ai-automation__ai-cost	ai-automation__ai-restaurants	413.0
ai-automation__ai-consulting	ai-automation__ai-cost	388.0
ai-automation__ai-overview	ai-automation__ai-restaurants	356.0
ai-automation__ai-city-pages	ai-automation__ai-restaurants	304.0
ai-automation__ai-consulting	ai-automation__ai-overview	249.0
ai-automation__ai-consulting	ai-automation__ai-restaurants	234.0
ai-automation__ai-consulting	ai-automation__ai-tools	216.0
ai-automation__ai-healthcare	ai-automation__ai-restaurants	201.0
ai-automation__ai-cost	ai-automation__ai-customer-service	182.0
ai-automation__ai-healthcare	ai-automation__ai-tools	162.0
ai-automation__ai-customer-service	ai-automation__ai-scheduling	160.0
ai-automation__ai-agent-workflows	ai-automation__ai-healthcare	158.0
ai-automation__ai-healthcare	ai-automation__ai-overview	135.0
ai-automation__ai-healthcare	ai-automation__ai-scheduling	130.0
ai-automation__ai-customer-service	ai-automation__ai-healthcare	128.0
ai-automation__ai-consulting	ai-automation__ai-healthcare	118.0
ai-automation__ai-consulting	problem-intelligence__general	118.0
ai-automation__ai-consulting	payments__payments-overview	115.0
payments__payments-overview	problem-intelligence__general	112.0
ai-automation__ai-cost	problem-intelligence__general	109.0
ai-automation__ai-tools	problem-intelligence__general	109.0
ai-automation__ai-customer-service	ai-automation__ai-overview	108.0
ai-automation__ai-customer-service	ai-automation__ai-restaurants	107.0
ai-automation__ai-city-pages	problem-intelligence__general	107.0
ai-automation__ai-scheduling	problem-intelligence__general	107.0
ai-automation__ai-overview	problem-intelligence__general	107.0
ai-automation__ai-restaurants	problem-intelligence__general	105.0
ai-automation__ai-agent-workflows	problem-intelligence__general	105.0
ai-automation__ai-agent-workflows	ai-automation__ai-customer-service	102.0
ai-automation__ai-cost	ai-automation__ai-healthcare	102.0
ai-automation__ai-city-pages	ai-automation__ai-healthcare	95.0
ai-automation__ai-consulting	ai-automation__ai-customer-service	94.0
ai-automation__ai-customer-service	ai-automation__ai-tools	92.0
ai-automation__ai-city-pages	ai-automation__ai-customer-service	82.0
payments__payment-fees	payments__payments-overview	78.0
ai-automation__ai-consulting	payments__payment-fees	75.0
ai-automation__ai-city-pages	payments__payments-overview	74.0
ai-automation__ai-cost	payments__payments-overview	66.0
ai-automation__ai-restaurants	payments__payments-overview	66.0
ai-automation__ai-overview	payments__payments-overview	64.0
payments__payment-fees	problem-intelligence__general	57.0
ai-automation__ai-tools	payments__payments-overview	56.0
ai-automation__ai-scheduling	payments__payments-overview	54.0
ai-automation__ai-agent-workflows	payments__payments-overview	54.0
ai-automation__ai-customer-service	problem-intelligence__general	52.0
ai-automation__ai-healthcare	payments__payments-overview	52.0
ai-automation__ai-healthcare	problem-intelligence__general	52.0
ai-automation__ai-overview	payments__payment-fees	49.0
ai-automation__ai-restaurants	payments__payment-fees	47.0
ai-automation__ai-scheduling	operator-tools__operator-tools-overview	41.0
ai-automation__ai-cost	operator-tools__operator-tools-overview	41.0
ai-automation__ai-restaurants	operator-tools__operator-tools-overview	40.0
ai-automation__ai-city-pages	payments__payment-fees	39.0
ai-automation__ai-scheduling	payments__payment-fees	39.0
ai-automation__ai-cost	payments__payment-fees	39.0
ai-automation__ai-overview	payments__stripe	39.0
ai-automation__ai-agent-workflows	payments__payment-fees	39.0
ai-automation__ai-tools	payments__payment-fees	39.0
ai-automation__ai-city-pages	operator-tools__operator-tools-overview	37.0
ai-automation__ai-overview	operator-tools__operator-tools-overview	37.0
ai-automation__ai-agent-workflows	operator-tools__operator-tools-overview	37.0
ai-automation__ai-tools	payments__stripe	36.0
ai-automation__ai-customer-service	payments__payments-overview	33.0
operator-tools__operator-tools-overview	payments__payments-overview	32.0
ai-automation__ai-city-pages	payments__stripe	30.0
ai-automation__ai-healthcare	payments__payment-fees	28.0
ai-automation__ai-healthcare	payments__stripe	22.0
ai-automation__ai-restaurants	payments__stripe	19.0
ai-automation__ai-customer-service	payments__payment-fees	16.0
