# SideGuy Gravity Report — Sat Mar 14 15:45:19 UTC 2026
# score,links,size_bytes,file

191430,281,50930,public/auto/index.html
87047,88,43047,public/problem-pages/who-helps-with-how-to-lower-payment-processing-fees.html
86576,86,43576,public/problem-pages/restaurant-payment-processing-near-me-escondido.html
86457,87,42957,public/problem-pages/how-to-lower-payment-processing-fees-cost-san-diego.html
86331,87,42831,public/problem-pages/what-is-how-to-lower-payment-processing-fees.html
86050,85,43550,public/problem-pages/restaurant-payment-processing-near-me-vista.html
86039,85,43539,public/problem-pages/restaurant-payment-processing-near-me-encinitas.html
86034,85,43534,public/problem-pages/restaurant-payment-processing-near-me-carlsbad.html
86004,85,43504,public/problem-pages/restaurant-payment-processing-near-me-chula-vista.html
85779,86,42779,public/problem-pages/restaurant-payment-processing-not-working.html
85671,85,43171,public/problem-pages/restaurant-payment-processing-vs-quickbooks.html
85669,86,42669,public/problem-pages/restaurant-payment-processing-stopped-working.html
85642,85,43142,public/problem-pages/restaurant-payment-processing-vs-manual-process.html
85640,86,42640,public/problem-pages/how-to-lower-payment-processing-fees-for-small-business-san-diego.html
85587,85,43087,public/problem-pages/restaurant-payment-processing-vs-stripe.html
85555,85,43055,public/problem-pages/restaurant-payment-processing-for-small-business-san-marcos.html
85527,84,43527,public/problem-pages/restaurant-payment-processing-near-me-coronado.html
85520,86,42520,public/problem-pages/why-is-how-to-lower-payment-processing-fees-so-expensive.html
85505,85,43005,public/problem-pages/restaurant-payment-processing-for-small-business-san-diego.html
85487,84,43487,public/problem-pages/restaurant-payment-processing-near-me-san-marcos.html
85475,85,42975,public/problem-pages/how-to-lower-payment-processing-fees-san-diego.html
85457,85,42957,public/problem-pages/how-to-lower-payment-processing-fees-near-me-san-diego.html
85401,83,43901,public/auto/payment-processing-fees-too-high-agencies-california.html
85394,83,43894,public/auto/stripe-fees-increasing-salons-san-diego.html
85379,85,42879,public/problem-pages/restaurant-payment-processing-vista.html
85377,83,43877,public/auto/payment-processing-fees-too-high-property-management-california.html
85377,83,43877,public/auto/stripe-fees-increasing-agencies-san-diego.html
85373,83,43873,public/auto/stripe-fees-increasing-property-management-california.html
85371,83,43871,public/auto/stripe-fees-increasing-plumbing-north-county.html
85370,83,43870,public/auto/stripe-fees-increasing-property-management-san-diego.html
85367,83,43867,public/auto/google-ads-stopped-working-salons-california.html
85367,83,43867,public/auto/stripe-fees-increasing-hvac-san-diego.html
85353,83,43853,public/auto/stripe-fees-increasing-landscaping-north-county.html
85350,83,43850,public/auto/payment-processing-fees-too-high-agencies-san-diego.html
85348,83,43848,public/auto/ai-automation-replacing-staff-salons-san-diego.html
85342,83,43842,public/auto/stripe-fees-increasing-agencies-california.html
85339,83,43839,public/auto/stripe-fees-increasing-salons-california.html
85329,83,43829,public/auto/stripe-fees-increasing-real-estate-san-diego.html
85319,83,43819,public/auto/lead-generation-dropping-contractors-san-diego.html
85319,83,43819,public/auto/stripe-fees-increasing-roofing-north-county.html
85293,83,43793,public/auto/crm-migration-problems-dental-california.html
85283,83,43783,public/auto/stripe-fees-increasing-real-estate-north-county.html
85278,83,43778,public/auto/lead-generation-dropping-salons-california.html
85267,85,42767,public/problem-pages/restaurant-payment-processing-san-marcos.html
85255,83,43755,public/auto/google-ads-stopped-working-contractors-san-diego.html
85246,85,42746,public/problem-pages/restaurant-payment-processing-cost-san-diego.html
85243,83,43743,public/auto/stripe-fees-increasing-dental-california.html
85240,83,43740,public/auto/crm-migration-problems-construction-north-county.html
85231,85,42731,public/problem-pages/restaurant-payment-processing-near-me.html
85124,84,43124,public/problem-pages/restaurant-payment-processing-vs-square.html
