topic	page_count	sample_page
ai	3349	ai-adoption-consultant-san-diego.html
san	956	backup_pages/san-diego-ac-not-blowing-cold-air.html
who	893	authority/who-do-hub.html
how	659	autogen/html/how-ai-answers-should-be-interpreted.html
sideguy	653	authority/sideguy-human-hub.html
industry	640	hubs/industry-accountants.html
payment	449	authority/payment-processing-hub.html
crypto	353	authority/crypto-payments-hub.html
stripe	323	auto-intent-pages/payments/stripe/stripe-troubleshooting-checklist.html
human	281	authority/human-help-hub.html
hvac	270	auto-hubs/categories/hvac.html
local	253	authority/local-seo-hub.html
solana	251	authority/solana-beach-hub.html
tech	236	authority/tech-help-hub.html
business	184	auto-hubs/categories/business-software.html
operator	157	authority/operator-tools.html
google	147	authority/google-ads.html
contractor	141	backup_pages/contractor-billing-tools-san-diego.html
why	140	autogen/html/why-clarity-degrades-under-pressure.html
instant	140	backup_pages/instant-help-san-diego.html
best	129	backup_pages/best-ai-tools-for-small-business-san-diego.html
real	120	autogen/html/real-time-clarity.html
ticket	111	backup_pages/ticket-help-san-diego.html
small	110	authority/small-business-hub.html
vacation	103	pages/auto/vacation-rental-tech-san-diego-108.html
seo	93	authority/seo-help-hub.html
website	85	backup_pages/website-copy-not-converting.html
what	84	autogen/html/what-to-do-when-every-vendor-says-urgent.html
new	79	backup_pages/new-business-setup-help.html
is	73	backups_20251230_191613/is-it-worth-hiring-a-plumber-san-diego.html
compliance	72	compliance-consulting-carlsbad.html
home	69	auto-hubs/clusters/home-systems--ac-problems.html
solar	65	backup_pages/solar-battery-backup-install.html
mobile	64	backup_pages/mobile-app-development-san-diego.html
internet	61	backup_pages/internet-drops-randomly.html
index	59	_BACKUPS/index.html
problem	58	auto-hubs/categories/problem-intelligence.html
payments	57	authority/payments.html
email	57	backup_pages/email-going-to-spam.html
do	56	authority/do-call-hub.html
merchant	56	backup_pages/merchant-fees-too-high.html
urgent	56	backup_pages/urgent-care-payment-processing-san-diego.html
signal	56	data/signal-log.html
subscription	55	backup_pages/subscription-billing-san-diego.html
after	55	compliance/seo/after-vendors/after-compliance-software-demos.html
restaurant	54	backup_pages/restaurant-hood-cleaning.html
water	54	backup_pages/water-damage-restoration-san-diego.html
north	53	backup_pages/north-county-help-directory.html
roof	51	backup_pages/roof-cleaning-payments-san-diego.html
workflow	51	backup_pages/workflow-automation-tools.html
smart	50	backup_pages/smart-contract-auditing.html
enterprise	47	backup_pages/enterprise-agent-platform.html
elder	47	pages/elder-care-tech-cardiff-1.html
San	46	San-Diego-Contractor-Payments.html
when	45	autogen/html/when-doing-nothing-prevents-loss.html
ac	42	ac-blowing-warm-air.html
chargebacks	42	authority/payments/chargebacks.html
energy	42	auto-hubs/clusters/energy-ev--energy-savings.html
site	42	problems/multiplied/site-indexing-not-working-best-option-for-accountants.html
garage	41	backup_pages/garage-conversion-san-diego.html
ssl	41	backup_pages/ssl-certificate-missing.html
zapier	41	backup_pages/zapier-automation-broken.html
crm	39	authority/small-business-tech/crm.html
should	38	autogen/html/should-you-act-after-a-cyber-alert.html
dns	38	problems/dns-configuration-account-suspended.html
api	36	api-development-san-diego.html
auto	36	auto-detailing-payment-processing-san-diego.html
calendar	36	backup_pages/calendar-not-syncing.html
make	36	backup_pages/make-com-scenarios-not-working.html
pool	36	backup_pages/pool-cleaning-san-diego.html
hipaa	36	compliance/seo/hipaa-compliance-what-matters.html
no	35	autogen/html/no-affiliates.html
cloud	35	backup_pages/cloud-ai-workflow-integration.html
credit	35	backup_pages/credit-card-fee-reduction.html
troubleshooting	35	problems/troubleshooting-apple-pay-not-working-on-checkout.html
soc	34	compliance/seo/soc-2-readiness-check.html
shopify	33	backup_pages/shopify-help-san-diego.html
wifi	33	backup_pages/wifi-connected-no-internet.html
square	33	decisions/square-vs-stripe-payments.html
quick	31	problems/quick-fix-for-api-key-invalid-after-rotation.html
ach	30	ach-payments-vs-credit-cards-for-small-business-san-diego.html
