pillar	cluster	cluster_title	hub_path	page_count
ai-automation	ai-agent-workflows	AI Agent Workflows	clusters/ai-automation--ai-agent-workflows.html	446
ai-automation	ai-city-pages	AI Automation — City Pages	clusters/ai-automation--ai-city-pages.html	1268
ai-automation	ai-consulting	AI Consulting	clusters/ai-automation--ai-consulting.html	231
ai-automation	ai-cost	AI Automation Cost & ROI	clusters/ai-automation--ai-cost.html	5421
ai-automation	ai-customer-service	AI Customer Service	clusters/ai-automation--ai-customer-service.html	36
ai-automation	ai-healthcare	AI for Healthcare Practices	clusters/ai-automation--ai-healthcare.html	36
ai-automation	ai-overview	AI Automation (Overview)	clusters/ai-automation--ai-overview.html	2250
ai-automation	ai-restaurants	AI for Restaurants	clusters/ai-automation--ai-restaurants.html	116
ai-automation	ai-scheduling	AI Scheduling & Booking	clusters/ai-automation--ai-scheduling.html	1201
ai-automation	ai-tools	AI Automation Tools	clusters/ai-automation--ai-tools.html	1669
operator-tools	operator-tools-overview	Operator Tools (Overview)	clusters/operator-tools--operator-tools-overview.html	4
payments	chargebacks	Chargebacks & Disputes	clusters/payments--chargebacks.html	1
payments	payment-fees	Payment Fee Comparison	clusters/payments--payment-fees.html	8
payments	payments-overview	Payment Processing (Overview)	clusters/payments--payments-overview.html	17
payments	stripe	Stripe Troubleshooting	clusters/payments--stripe.html	1
problem-intelligence	general	General (Other)	clusters/problem-intelligence--general.html	52
