# Google Search Console export — Top Pages (Dec 4 2025 – Mar 3 2026)
# Format: date_range,type,impressions,clicks,ctr,position,url,top_query
last_90_days,pages,61,13,0.21,10,https://sideguysolutions.com/,
last_90_days,pages,9,1,0.11,15,https://www.sideguysolutions.com/seo-pages/software-consulting-san-diego.html,software consulting san diego
last_90_days,pages,4,1,0.25,12,https://sideguysolutions.com/sideguy-vision.html,sideguy vision
last_90_days,pages,3,1,0.33,8,https://sideguysolutions.com/Oceanside-Payment-Processing.html,oceanside payment processing
last_90_days,pages,1,1,1.00,5,https://sideguysolutions.com/how-credit-card-processing-fees-work.html,credit card processing fees
last_90_days,pages,35,0,0,25,https://sideguysolutions.com/foundation-repair-san-diego.html,foundation repair san diego
last_90_days,pages,31,0,0,25,https://sideguysolutions.com/ai-small-business-automation-san-diego.html,ai small business automation san diego
last_90_days,pages,26,0,0,25,https://sideguysolutions.com/hvac-installation-san-diego.html,hvac installation san diego
last_90_days,pages,18,0,0,25,https://sideguysolutions.com/retail-payment-processing-san-diego.html,retail payment processing san diego
last_90_days,pages,17,0,0,25,https://sideguysolutions.com/san-diego-mobile-business-payments.html,mobile business payments san diego
last_90_days,pages,17,0,0,25,https://sideguysolutions.com/best-ai-tools-for-small-business-san-diego.html,best ai tools for small business san diego
last_90_days,pages,11,0,0,25,https://sideguysolutions.com/ai-business-solutions-san-diego.html,ai business solutions san diego
last_90_days,pages,11,0,0,25,https://sideguysolutions.com/mobile-operator-payments-san-diego.html,mobile operator payments san diego
last_90_days,pages,11,0,0,25,https://sideguysolutions.com/payment-processing-near-me.html,payment processing near me
last_90_days,pages,10,0,0,25,https://sideguysolutions.com/ai-lead-generation-systems-san-diego.html,ai lead generation systems san diego
last_90_days,pages,10,0,0,25,https://sideguysolutions.com/index.html,sideguy solutions
last_90_days,pages,9,0,0,25,https://sideguysolutions.com/Best-Payment-Processing-San-Diego.html,best payment processing san diego
last_90_days,pages,9,0,0,25,https://sideguysolutions.com/ecommerce-payments-san-diego.html,ecommerce payments san diego
last_90_days,pages,8,0,0,25,https://sideguysolutions.com/san-diego-business-automation.html,san diego business automation
last_90_days,pages,8,0,0,25,https://sideguysolutions.com/tech-help-hub-san-diego.html,tech help san diego
