cluster	source	score	seed	url	impressions	position
ai-automation	manual	130	ai receptionist cost comparison		0	0.0
ai-automation	manual	130	best ai scheduling tools 2025		0	0.0
ai-automation	trend	120	ai agents replacing saas		0	0.0
ai-automation	trend	120	ai invoicing automation		0	0.0
ai-automation	trend	120	ai phone answering for contractors		0	0.0
ai-automation	trend	120	ai receptionist for small business		0	0.0
ai-automation	trend	120	ai scheduling for dental offices		0	0.0
ai-automation	trend	120	ai scheduling for hvac companies		0	0.0
ai-automation	trend	120	ai scheduling for plumbers		0	0.0
ai-automation	trend	120	llm agents for local business		0	0.0
ai-automation	trend	120	make com automation examples		0	0.0
ai-automation	trend	120	n8n automation for small business		0	0.0
ai-automation	trend	120	zapier alternative cheaper		0	0.0
ai-automation	manual	90	ai automation for accounting firms		0	0.0
ai-automation	manual	90	ai automation for dental offices		0	0.0
ai-automation	manual	90	ai automation for operators		0	0.0
ai-automation	manual	90	ai automation for plumbers		0	0.0
ai-automation	manual	90	ai automation for real estate agents		0	0.0
ai-automation	manual	90	ai automation for restaurants		0	0.0
ai-automation	manual	90	local business automation tools		0	0.0
payments	trend	160	lower credit card fees small business		0	0.0
payments	trend	160	merchant account alternatives to stripe		0	0.0
payments	trend	160	merchant processing hidden fees		0	0.0
payments	manual	130	chargeback win rate guide for merchants		0	0.0
payments	manual	130	payment processing savings calculator		0	0.0
payments	trend	120	chargeback prevention software		0	0.0
payments	trend	120	crypto payments without volatility		0	0.0
payments	trend	120	solana pay for merchants		0	0.0
payments	trend	120	solana payments adoption		0	0.0
payments	trend	120	stripe chargeback increase 2025		0	0.0
payments	trend	120	stripe fee increase small business		0	0.0
payments	trend	120	usdc payments for service businesses		0	0.0
payments	manual	90	sideguy payments consulting		0	0.0
payments	manual	90	solana merchant payments		0	0.0
payments	manual	90	stripe vs square comparison		0	0.0
home-systems	trend	160	ac repair cost san diego		0	0.0
home-systems	trend	120	heat pump freezing up at night san diego		0	0.0
home-systems	trend	120	hvac heat pump incentives		0	0.0
home-systems	trend	120	hvac not cooling san diego summer		0	0.0
home-systems	trend	120	who do i call for ac not cooling		0	0.0
home-systems	manual	90	hvac troubleshooting decision tree		0	0.0
energy-ev	trend	160	ev charging installation cost san diego		0	0.0
energy-ev	trend	160	sdge ev rate plan savings		0	0.0
energy-ev	manual	130	best ev home charger san diego		0	0.0
energy-ev	trend	120	ev charger rebates california		0	0.0
energy-ev	trend	120	tesla charging slow after software update		0	0.0
uncategorized	trend	160	chatbot for local business cost		0	0.0
uncategorized	trend	160	electrical panel upgrade cost san diego		0	0.0
uncategorized	trend	160	water heater replacement cost san diego		0	0.0
uncategorized	trend	120	who do i call for water heater leak		0	0.0
operator-tools	manual	130	crypto wallet safety checklist		0	0.0
operator-tools	manual	130	hvac repair vs replace calculator		0	0.0
operator-tools	manual	130	who do i call checklist san diego		0	0.0
local-seo	manual	90	google business profile optimization san diego		0	0.0
local-seo	manual	90	local seo for san diego small business		0	0.0
crypto-web3	manual	130	solana pay setup guide		0	0.0
business-software	manual	90	quickbooks vs xero san diego		0	0.0
