path,health_score,classification,notes
site/ai-advice-for-new-businesses-when-it-fails.html,4,strong,""
site/ai-cooling-energy-optimization-san-diego.html,4,strong,""
site/ai-automation-encinitas-7.html,2,stable,"thin-content"
site/crypto-payments-encinitas-18.html,2,stable,"thin-content"
site/ai-automation-del-mar-5.html,2,stable,"thin-content"
site/hvac-tech-help-encinitas-10.html,2,stable,"thin-content"
site/crypto-payments-solana-beach-6.html,2,stable,"thin-content"
site/hvac-tech-help-solana-beach-1.html,2,stable,"thin-content"
site/crypto-payments-san-diego-18.html,2,stable,"thin-content"
site/ai-automation-san-diego-14.html,2,stable,"thin-content"
site/human-tech-help-del-mar-17.html,2,stable,"thin-content"
site/payment-processing-encinitas-11.html,1,fragile,"low-internal-links thin-content"
site/ai-gave-wrong-answer-san-diego.html,4,strong,""
site/hvac-tech-help-solana-beach-16.html,2,stable,"thin-content"
site/chatgpt-vs-reality-local-decisions.html,4,strong,""
site/payment-processing-cardiff-by-the-sea-1.html,1,fragile,"low-internal-links thin-content"
site/hvac-tech-help-san-diego-2.html,2,stable,"thin-content"
site/ai-automation-cardiff-by-the-sea-7.html,2,stable,"thin-content"
site/crypto-payments-san-diego-8.html,2,stable,"thin-content"
site/ai-automation-del-mar-12.html,2,stable,"thin-content"
site/ai-for-research-not-decisions.html,4,strong,""
site/crypto-payments-solana-beach-12.html,2,stable,"thin-content"
site/payment-processing-san-diego-16.html,1,fragile,"low-internal-links thin-content"
site/ai-automation-solana-beach-1.html,2,stable,"thin-content"
site/crypto-payments-solana-beach-10.html,2,stable,"thin-content"
site/ai-automation-cardiff-by-the-sea-15.html,2,stable,"thin-content"
site/ai-automation-del-mar-2.html,2,stable,"thin-content"
site/crypto-payments-encinitas-9.html,2,stable,"thin-content"
site/human-tech-help-encinitas-10.html,2,stable,"thin-content"
site/hvac-tech-help-encinitas-7.html,2,stable,"thin-content"
site/payment-processing-cardiff-by-the-sea-5.html,1,fragile,"low-internal-links thin-content"
site/ai-automation-san-diego-3.html,2,stable,"thin-content"
