page_type,slug,title,category,parent,notes
category,payments,payments,payments,root,category hub
problem,what-is-payments,what is payments,payments,payments,definition page
problem,how-does-payments-work,how does payments work,payments,payments,mechanics page
resolution,best-payments-options,best payments options,payments,payments,decision page
system,payments-systems,payments systems,payments,payments,system overview
skill,payment-systems-setup,payment systems setup,payments,payments,skill page candidate
skill,stablecoin-merchant-onboarding,stablecoin merchant onboarding,payments,payments,skill page candidate
skill,ai-workflow-design,ai workflow design,payments,payments,skill page candidate
skill,ai-tool-evaluation,ai tool evaluation,payments,payments,skill page candidate
skill,local-operator-guidance,local operator guidance,payments,payments,skill page candidate
skill,hvac-triage,hvac triage,payments,payments,skill page candidate
skill,small-business-tech-triage,small business tech triage,payments,payments,skill page candidate
skill,automation-opportunity-mapping,automation opportunity mapping,payments,payments,skill page candidate
skill,machine-payment-explainer,machine payment explainer,payments,payments,skill page candidate
skill,future-systems-research,future systems research,payments,payments,skill page candidate
operator,pj,pj,payments,payments,operator profile
operator,san-diego-operator,san diego operator,payments,payments,operator profile
operator,payments-operator,payments operator,payments,payments,operator profile
operator,ai-automation-operator,ai automation operator,payments,payments,operator profile
operator,home-services-operator,home services operator,payments,payments,operator profile
operator,future-infrastructure-operator,future infrastructure operator,payments,payments,operator profile
category,ai-automation,ai automation,ai-automation,root,category hub
problem,what-is-ai-automation,what is ai automation,ai-automation,ai-automation,definition page
problem,how-does-ai-automation-work,how does ai automation work,ai-automation,ai-automation,mechanics page
resolution,best-ai-automation-options,best ai automation options,ai-automation,ai-automation,decision page
system,ai-automation-systems,ai automation systems,ai-automation,ai-automation,system overview
skill,payment-systems-setup,payment systems setup,ai-automation,ai-automation,skill page candidate
skill,stablecoin-merchant-onboarding,stablecoin merchant onboarding,ai-automation,ai-automation,skill page candidate
skill,ai-workflow-design,ai workflow design,ai-automation,ai-automation,skill page candidate
skill,ai-tool-evaluation,ai tool evaluation,ai-automation,ai-automation,skill page candidate
skill,local-operator-guidance,local operator guidance,ai-automation,ai-automation,skill page candidate
skill,hvac-triage,hvac triage,ai-automation,ai-automation,skill page candidate
skill,small-business-tech-triage,small business tech triage,ai-automation,ai-automation,skill page candidate
skill,automation-opportunity-mapping,automation opportunity mapping,ai-automation,ai-automation,skill page candidate
skill,machine-payment-explainer,machine payment explainer,ai-automation,ai-automation,skill page candidate
skill,future-systems-research,future systems research,ai-automation,ai-automation,skill page candidate
operator,pj,pj,ai-automation,ai-automation,operator profile
