Country,Clicks,Impressions,CTR,Position
United States,20,2961,0.68%,44.03
Netherlands,1,7,14.29%,6.86
Philippines,1,6,16.67%,8.83
United Arab Emirates,1,5,20%,30.6
United Kingdom,0,117,0%,52.51
Canada,0,64,0%,24.52
Australia,0,51,0%,58.75
Brazil,0,35,0%,11.69
India,0,25,0%,13.44
France,0,23,0%,6.61
Germany,0,21,0%,23.24
Spain,0,19,0%,15.05
Mexico,0,17,0%,9.76
China,0,16,0%,6.12
Italy,0,12,0%,10
Argentina,0,12,0%,11.58
Vietnam,0,12,0%,24.58
Indonesia,0,11,0%,12.27
Thailand,0,9,0%,12
Sweden,0,9,0%,48.89
Malaysia,0,8,0%,7.5
Hong Kong,0,8,0%,7.88
South Korea,0,8,0%,13.12
Algeria,0,8,0%,18.12
Colombia,0,8,0%,18.25
Ecuador,0,7,0%,5.14
Turkey,0,7,0%,21
Israel,0,7,0%,26.14
Ukraine,0,6,0%,5.83
Belgium,0,6,0%,6.5
Japan,0,6,0%,8.33
Pakistan,0,6,0%,20
Poland,0,5,0%,7.6
Chile,0,5,0%,13.4
Morocco,0,4,0%,4.75
Peru,0,4,0%,5.25
Egypt,0,4,0%,6
Finland,0,4,0%,7
Russia,0,4,0%,7
Norway,0,4,0%,7.75
Singapore,0,4,0%,11.75
Bangladesh,0,4,0%,15.75
Romania,0,4,0%,17.25
New Zealand,0,4,0%,18
Sri Lanka,0,3,0%,3.33
Saudi Arabia,0,3,0%,6.67
Ireland,0,3,0%,7
Portugal,0,3,0%,7.33
Iran,0,3,0%,8
Switzerland,0,3,0%,8.33
Paraguay,0,3,0%,11.67
Czechia,0,3,0%,22.33
Taiwan,0,2,0%,2.5
Lithuania,0,2,0%,5
Macedonia,0,2,0%,5
Costa Rica,0,2,0%,6
Austria,0,2,0%,8.5
Armenia,0,2,0%,10.5
Iraq,0,2,0%,26
Denmark,0,2,0%,44
South Africa,0,2,0%,58.5
Gabon,0,1,0%,2
Benin,0,1,0%,3
Djibouti,0,1,0%,3
Kenya,0,1,0%,3
Serbia,0,1,0%,3
Myanmar (Burma),0,1,0%,4
Mozambique,0,1,0%,4
Palestine,0,1,0%,4
Tanzania,0,1,0%,4
Namibia,0,1,0%,5
Venezuela,0,1,0%,5
Panama,0,1,0%,7
Bahamas,0,1,0%,8
Jordan,0,1,0%,8
Luxembourg,0,1,0%,8
Montenegro,0,1,0%,8
Syria,0,1,0%,8
St. Lucia,0,1,0%,9
Afghanistan,0,1,0%,10
Croatia,0,1,0%,10
Lebanon,0,1,0%,10
Libya,0,1,0%,10
Moldova,0,1,0%,10
Nigeria,0,1,0%,11
Dominican Republic,0,1,0%,12
Guatemala,0,1,0%,12
Slovakia,0,1,0%,12
Northern Mariana Islands,0,1,0%,13
Cuba,0,1,0%,15
El Salvador,0,1,0%,34
Azerbaijan,0,1,0%,87
Bulgaria,0,1,0%,87
