Date,Affected pages
2025-12-14,127
2025-12-15,124
2025-12-16,124
2025-12-17,124
2025-12-18,124
2025-12-19,124
2025-12-20,124
2025-12-21,124
2025-12-22,124
2025-12-23,118
2025-12-24,118
2025-12-25,118
2025-12-26,118
2025-12-27,118
2025-12-28,118
2025-12-29,118
2025-12-30,118
2025-12-31,118
2026-01-01,118
2026-01-02,118
2026-01-03,116
2026-01-04,116
2026-01-05,116
2026-01-06,112
2026-01-07,112
2026-01-08,112
2026-01-09,112
2026-01-10,107
2026-01-11,107
2026-01-12,107
2026-01-13,106
2026-01-14,106
2026-01-15,106
2026-01-16,106
2026-01-17,103
2026-01-18,103
2026-01-19,103
2026-01-20,101
2026-01-21,101
2026-01-22,101
2026-01-23,101
2026-01-24,99
2026-01-25,99
2026-01-26,99
2026-01-27,96
2026-01-28,96
2026-01-29,96
2026-01-30,96
2026-01-31,95
2026-02-01,95
2026-02-02,95
2026-02-03,93
2026-02-04,93
2026-02-05,93
2026-02-06,93
2026-02-07,89
2026-02-08,89
2026-02-09,89
2026-02-10,84
2026-02-11,84
2026-02-12,84
2026-02-13,84
2026-02-14,80
2026-02-15,80
2026-02-16,80
2026-02-17,321
2026-02-18,321
2026-02-19,321
2026-02-20,321
2026-02-21,327
2026-02-22,327
2026-02-23,327
2026-02-24,1421
2026-02-25,1421
2026-02-26,1421
2026-02-27,1421
2026-02-28,1421
2026-03-01,1421
2026-03-02,1421
2026-03-03,1658
2026-03-04,1658
2026-03-05,1658
2026-03-06,1658
2026-03-07,11145
2026-03-08,11145
2026-03-09,11145
